,geotype,spectrum_limitations,id,aantal,NUMPOINTS,Shape_Area,pop_density_km2,Shape_Area_km2,Scenario,Strategy,Macro.cell.site.density,Small.cell.site.density,Existing.capacity,Spectrum.capacity,Small.cells.capacity,Capacity.surplus,Cost.per.km2,RAN.macro,RAN.small.cells,Backhaul.macro,Civil.works.macro,Civil.works.small,Cost
88,Rural 1,all_spectrum,2991,12165,11,8466278,1436.877,8.5,Scenario 3 (300 Mbps),Hybrid,0.32,6.7789808,61.2,22.76976,2033.69424,0.0,120715.3722,20317.104,15176.44327,1146.24,5158.08,78917.50498,1026080.664
89,Rural 1,all_spectrum,2991,12165,11,8466278,1436.877,8.5,Scenario 3 (300 Mbps),Small Cells,0.0,6.85488,61.2,0.0,2056.464,0.0,95147.44812,0.0,15346.3626,0.0,0.0,79801.08552,808753.309
90,Rural 1,all_spectrum,7555,9360,6,6513590,1436.996,6.5,Scenario 2 (100 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,621.91824,3716.334916,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,532019.6958
91,Rural 1,all_spectrum,7555,9360,6,6513590,1436.996,6.5,Scenario 1 (30 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,127.79664,6928.125315,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,532019.6958
92,Rural 1,all_spectrum,7555,9360,6,6513590,1436.996,6.5,Scenario 2 (100 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-4042.46856,26621.424,20317.104,0.0,1146.24,5158.08,0.0,173039.256
93,Rural 1,all_spectrum,7555,9360,6,6513590,1436.996,6.5,Scenario 2 (100 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,644.688,3568.331476,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,358980.4398
94,Rural 1,all_spectrum,7555,9360,6,6513590,1436.996,6.5,Scenario 1 (30 Mbps),Small Cells,0.0,3.978873577,61.2,0.0,150.5664,6780.121875,55227.75997,0.0,8907.703221,0.0,0.0,46320.05675,358980.4398
95,Rural 1,all_spectrum,7555,9360,6,6513590,1436.996,6.5,Scenario 3 (300 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-13219.01256,26621.424,20317.104,0.0,1146.24,5158.08,0.0,173039.256
96,Rural 1,all_spectrum,7555,9360,6,6513590,1436.996,6.5,Scenario 1 (30 Mbps),Spectrum Integration,0.32,0.0,61.2,22.76976,0.0,-830.67816,26621.424,20317.104,0.0,1146.24,5158.08,0.0,173039.256
97,Rural 1,all_spectrum,7555,9360,6,6513590,1436.996,6.5,Scenario 3 (300 Mbps),Hybrid,0.32,6.7789808,61.2,22.76976,2033.69424,0.0,120715.3722,20317.104,15176.44327,1146.24,5158.08,78917.50498,784649.9196
98,Rural 1,all_spectrum,7555,9360,6,6513590,1436.996,6.5,Scenario 3 (300 Mbps),Small Cells,0.0,6.85488,61.2,0.0,2056.464,0.0,95147.44812,0.0,15346.3626,0.0,0.0,79801.08552,618458.4128
99,Rural 1,all_spectrum,5018,3225,1,3730743,864.439,3.7,Scenario 2 (100 Mbps),Hybrid,0.32,3.978873577,61.2,22.76976,621.91824,2115.452183,81849.18397,20317.104,8907.703221,1146.24,5158.08,46320.05675,302841.9807
